职位名称,职位类别,人数,地点,发布时间
22989-腾讯云网络规划工程师（深圳）,技术类,1,深圳,2017-12-13
SNG16-视觉UI设计（深圳）,设计类,1,深圳,2017-11-06
22850-用户精细化运营经理,市场类,2,北京,2017-11-06
MIG16-位置大数据高级产品经理（北京）,产品/项目类,1,北京,2017-11-06
21228-移动游戏数据分析（深圳）,产品/项目类,1,深圳,2017-11-06
22989-广告/营销云（高级）产品经理（深圳/上海）,产品/项目类,2,深圳,2017-11-06
22989-腾讯云广告/营销行业后台研发（高级）工程师（上海）,技术类,1,上海,2017-11-06
MIG16-开放平台Android开发高级工程师（北京）,技术类,2,北京,2017-11-06
SNG01-QQ内容运营（深圳）,内容编辑类,2,深圳,2017-11-06
19116-腾讯觅影数据分析高级产品经理（深圳）,产品/项目类,1,深圳,2017-11-06
17759-游戏产品运营经理,产品/项目类,1,北京,2017-11-06
SNG07-云测试高级工程师（成都）,技术类,2,成都,2017-12-13
WXG03-113 微信开放平台后台开发工程师（广州）,技术类,1,广州,2017-12-13
18402-内外部合作与市场推广接口人,产品/项目类,1,深圳,2017-12-13
21229-UI设计师（上海）,设计类,1,上海,2017-12-13
21229-高级游戏市场产品分析（上海）,产品/项目类,1,上海,2017-12-13
GY0-海外社交广告运营经理（深圳）,产品/项目类,1,深圳,2017-12-13
MIG03-前端开发工程师（大连）,技术类,1,大连,2017-12-13
MIG03-智能产品测试经理（深圳）,技术类,1,深圳,2017-12-13
17520-项目主美术（深圳）,设计类,1,深圳,2017-12-13
19157-汽车物联安全 - 硬件安全研究员（上海）,技术类,1,上海,2017-12-13
24111-java开发,技术类,1,深圳,2017-11-07
22989-云平台网站服务产品策划（深圳）,产品/项目类,1,深圳,2017-11-07
24111-前端开发工程师,技术类,1,深圳,2017-11-07
19511-腾讯游戏评测经理（深圳）,市场类,1,深圳,2017-11-07
15602-项目管理（深圳）,产品/项目类,1,深圳,2017-11-07
22990-互联网+商务拓展（北京）,市场类,3,北京,2017-11-08
22990-互联网+商务拓展（深圳）,市场类,3,深圳,2017-11-08
22990-互联网商务拓展（深圳）,市场类,3,深圳,2017-11-08
